School ID	Course ID	Course Name	Departments	Term	Year	Level	Special Topic	Description	Syllabus	Text IDs	PreReqs	Concepts
32	PH/CS4670	Quantum Computing	PHYS, CS	Spring	2020	GR	No	This interdisciplinary survey course explores the evolution and direction of quantum computing technology. Topics include quantum circuits, quantum algorithms (including factoring and search), and quantum key distribution.	https://faculty.nps.edu/tdhuffmi/work/cs4670_syllabus.pdf	12, 13	Modern Physics, Linear Algebra	quantum computing, quantum circuits, quantum algorithms, Shor's algorithm, Grover's algorithm, quantum cryptography, qubits, superposition, entanglement, teleportation, quantum information, quantum physics, no cloning theorem, Dirac notation, Bell's theorem, quantum dots, quantum gates, Deutsch's algorithm, Deutsch-Jozsa algorithm, superconducting qubits, physical implementation, ion traps, fault tolerance, quantum computers
33	CS 479	Quantum Computing	CS	Spring	2020	UG	Yes					
34	PHYS 2609	Introduction to Quantum Computing	PHYS	Fall	2020	UG	No	The course provides an introduction to the field of quantum computing. While very much a technology of the future, the course will examine some of the possibilities that the quantum world offers in advancing the capabilities of computers and how our notion of information has evolved. Topics covered include elements of Boolean algebra and classical logic gates, qubits and hypothesis of quantum mechanics, introduction to quantum algorithms, quantum teleportation and it application, quantum entanglement, statistical and adiabatic quantum computation, physical realizations of logic quantum gates in quantum system.	https://openlab.citytech.cuny.edu/kezerashviliphys2020/syllabus/		Modern Physics, Quantum Physics	quantum computing, quantum gates, qubits, quantum mechanics, quantum algorithms, teleportation, entanglement, quantum computation, physical implementation, quantum circuits, Dirac notation, mixed states, superposition, quantum measurement, superdense coding, Deutsch's algorithm, Deutsch-Jozsa algorithm, phase estimation, quantum Fourier transform, Shor's algorithm, Grover's algorithm, ion traps, superconducting qubits, quantum computer
35	CSCI-GA 3033-​022	Quantum Computation	CS	Fall	2019	GR	No	This course will be an introduction to quantum computation. A sample of topics we will try to cover: The quantum circuit model of computation; The Fourier transform; Basic quantum algorithms like Deutsch-Jozsa, Simon, and Grover; Shor's factoring algorithm and discrete log; Quantum entanglement, teleportation, superdense coding; Quantum query complexity and the adversary method; Density matrices, state discrimination; Quantum nonlocal games, Einstein-Podolsky-Rosen, and Bell; Quantum cryptography, quantum key distribution; The course will be of interest to students working in computer science, mathematics, or physics.	https://cims.nyu.edu/~regev/teaching/quantum_fall_2019/index.html	1,14		quantum computation, quantum circuits, quantum Fourier transform, quantum algorithms, Deutsch-Jozsa algorithm, Simon's algorithm, Grover's algorithm, Shor's algorithm, entanglement, teleportation, superdense coding, quantum complexity, density matrices, Bell's theorem, quantum cryptography, qubits, Dirac notation, Bernstein-Vazirani algorithm, Kuperberg's algorithm
36	CSC 591/ECE 592	Quantum Computing	CS, ENG	Fall	2020	GR	Yes	This course provides an introduction to quantum computing. It will feature the three pillars, architectures, programming, and algorithms/applications of quantum computing. Its focus is on the applicability of problems to quantum computing from a practical point, with only the necessary foundational coverage of the physics and theoretical aspects to understand quantum computing. Simulation software will be utilized complemented by access to actual quantum computers to prototype problem solutions. This should develop a better understanding of how problems are transformed into quantum algorithms and what programming language support is best suited for a given application area. The seminar will require significant amounts of background reading plus presentations, projects and exercises per participant.	https://arcb.csc.ncsu.edu/~mueller/qc/qc19/syllabus.html			quantum computing, programming, quantum algorithms, quantum computers, quantum complexity
37	ELEC_ENG 395	Quantum Computation	ENG	Spring	2021	UG	Yes	The basic mathematics of quantum mechanics will be reviewed for application to quantum computation. Classical physical computation (not with digital circuits) will be discussed, in particular reference to computational complexity. Computation with quantum qubit circuits will be developed. Glover's search algorithm and Shor's factorization algorithms will be covered. The more recent Adiabatic Quantum Computation will be discussed, together with a general perspective on quantum and physical computation in general.	https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/395-3.html	10	Linear Algebra, Intro Physics	quantum mechanics, quantum computation, quantum complexity, quantum circuits, qubits, quantum gates, quantum algorithms, Grover's algorithm, Shor's algorithm, Dirac notation, Turing machines, entanglement, quantum cryptography
37	ELEC_ENG 429	Selected Topics in Quantum Information Science and Technology	ENG			GR	Yes	In this course the basics of quantum information science will be covered, including general descriptions of quantum state, measurement, and transformation. Emphasis will be put on quantum entanglement and its applications to quantum teleportation and quantum computation. Their underlying theories and some expeimental development will be discussed. Depending on class interests, selected topics on quantum error correction, quantum cryptogaphy, or quantum information theory will be covered.	https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/429.html	1		quantum information, quantum measurement, entanglement, teleportation, quantum computation, error correction, quantum cryptography, quantum algorithms
38	CS 5263	Quantum Computing	CS			GR	No	The main theory of quantum information science and its applications to communications, computing and cryptography. Topics include introduction to quantum mechanics, quantum gates, circuits, entropy, cryptographic schemes, and implementations. Current technology in support of quantum processing will be reviewed.				quantum information, quantum computing, quantum cryptography, quantum mechanics, quantum gates, quantum circuits, entropy
39	CS 737/837	QUANTUM COMPUTING	CS	Spring	2020	GR, PhD	No	This course provides an introduction to the theory and practice of quantum computing. Topics covered include quantum computing circuits, particularly quantum gates, and comparison with classical computing gates and circuits; quantum algorithms; mathematical models of quantum computation; quantum error correcting codes; and quantum cryptography.	http://www.csis.pace.edu/~ctappert/cs837-20spring/index.htm	1,10	Linear Algebra	quantum computing, quantum circuits, quantum gates, quantum algorithms, quantum computation, error correction, quantum cryptography, programming, Qiskit, qubits, quantum mechanics, Shor's algorithm, quantum computers
40	CS 410/510	ntroduction to Quantum Computing	CS	Spring	2020	UG, GR	Yes	In this course, we will study the basic principles and techniques of quantum computing, and discuss some of the applications. The goal is to equip you with the essential tools to appreciate, further explore and (even better) devote to this exciting research area. Tentative topics include: quantum states and circuits, entanglement, quantum algorithms (e.g., Grover's search and Shor's factorization algorithms), quantum complexity theory, quantum error-correcting codes, and applications in cryptography.	https://fangsong.info/teaching/s20_4510_qc/schedule/	1,7	Linear Algebra, Algorithms	quantum computing, qubits, quantum gates, quantum circuits, entanglement, quantum algorithms, Grover's algorithm, Shor's algorithm, quantum complexity, error correction, quantum cryptography, superdense coding, teleportation, quantum measurement, Deutsch's algorithm, Deutsch-Jozsa algorithm, Simon's algorithm, phase estimation, quantum Fourier transform, quantum information, fault tolerance
41	ELE/COS 396	Introduction to Quantum Computing	ENG, CS	Fall	2020	UG, GR	No	This course will introduce the matrix form of quantum mechanics and discuss the concepts underlying the theory of quantum information. Some of the important algorithms will be discussed, as well as physical systems which have been suggested for quantum computing.			Linear Algebra	quantum mechanics, quantum information, quantum algorithms, physical implementation, quantum computing
41	ELE 568	Implementations of Quantum Information	ENG	Fall	2020	GR	No	This course provides an overview of experimental approaches to quantum information processing and quantum computing. We discuss the basic principles of quantum computing to understand the physical requirements, and then survey current research on implementing quantum information processing in various physical systems, in part by reading recent experimental literature. Specific topics covered include gate-based and adiabatic quantum computing, topologically protected quantum architectures, as well as several physical qubit systems: trapped ions/atoms, superconducting circuits, and electron and nuclear spins in solids.				quantum information, quantum computing, quantum gates, qubits, physical implementation, ion traps, superconducting qubits
42	PHYS 52600	Physics Of Quantum Computing And Quantum Information	PHYS	Spring	2020	GR	No	An introduction to the physics of quantum information science. Starting with the concepts of quantum superposition, it defines and describes qubits (quantum bits) and their manipulation by quantum logic gates. The topics of quantum entanglement and the EPR paradox are introduced, and their importance for quantum teleportation, communication, and quantum cryptography are covered. Quantum computing is described in terms of quantum circuits of logic gates, and also in terms of quantum algorithms, such as Deutche's algorithm, the quantum Fourier transform, Shor's prime factoring algorithm, and Grover's search algorithm. The final topic is quantum decoherence and the limits it places on practical implementations of quantum computing.				quantum information, superposition, qubits, quantum gates, entanglement, teleportation, quantum communication, quantum cryptography, quantum computing, quantum circuits, quantum algorithms, Deutsch's algorithm, quantum Fourier transform, Shor's algorithm, Grover's algorithm, decoherence
43	PHYS 44300	Quantum Computing And Cryptography	PHYS			UG	No	Quantum computing is a fast growing area of interest in the application of quantum mechanics used for problem solving. These devices work differently than traditional computers solving a smaller group of problems that are representable by quantum mechanical systems. These problems cannot be solved by traditional computers, at least in reasonable amounts of time. This course will introduce you to the concepts in quantum mechanics necessary to understand these devices and examine in detail the many types of problems these computers will tackle.			Modern Physics	quantum mechanics, quantum computers, quantum computation, quantum cryptography
44	CSCI 381/780	Quantum Computing	CS	Fall	2019	UG, GR	Yes	As computers get smaller and smaller, limitations in the hardware restrict our ability to build faster and faster solid state computers. Quantum computers are an attempt to design more powerful computers using the principles of quantum mechanics. Quantum computers rely on quantum entanglement and quantum parallelism for their speed, unavailable under classical computation. In this course we will study the design of quantum computers using quantum bits (qubits), quantum gates and quantum circuits. Applications will include quantum algorithms for fast factoring (Shor's algorithm) used for breaking cryptographic systems, quantum Fourier transform and quantum searching. The course will be self-contained and no previous knowledge of quantum mechanics is required. A background in linear algebra is helpful but not essential.			Data Structures	quantum computers, entanglement, qubits, quantum gates, quantum circuits, quantum algorithms, Shor's algorithm, quantum Fourier transform, Grover's algorithm
45	PHYS 367	Quantum Computation and Computational Quantum Mechanics	PHYS	Fall	2019	UG	No	Full course for one semester. The course explores the intersection of computation and quantum mechanics, both how computers are used to solve problems in quantum mechanics and how quantum mechanics can be leveraged to perform computations. The first half of the course is an introduction to quantum computing, covering qubits, quantum circuit diagrams, and examples of quantum algorithms. The second half of the course covers classical algorithms used to analyze many-body quantum systems, including exact diagonalization and quantum Monte Carlo techniques.			Linear Algebra, Calculus, Modern Physics, Waves/Signals	quantum computation, quantum mechanics, quantum computers, qubits, quantum circuits, quantum algorithms
46	CS 476	INTRODUCTION TO QUANTUM COMPUTING	CS	Spring	2019	UG	Yes	Introduces quantum computation from a Computer Science perspective, including basic Quantum Mechanics and Quantum: Circuits, Algorithms, Complexity, and Programming with comparisons to their Classical computing counterparts. Implications of quantum computing on society are also examined			Linear Algebra, Algorithms	quantum computing, quantum computation, quantum mechanics, quantum circuits, quantum algorithms, quantum complexity, programming
47	ECSE 4964	Quantum Computer Programming	ENG	Fall	2020	UG	No	Intro to quantum mechanics. Various physical realizations of quantum computing. The IBM Q. Quantum states and qbits. Quantum gates including Hadamard, Pauli-XYZ, Toffoli, Fredkin. Qiskit. Quantum algorithms, including Grover, Shor, and recent quantum algorithms. Investigating quantum hardware using qiskit	https://wrf.ecse.rpi.edu/nikola/files/quantum_syllabus.pdf	4,6,12	Intro Physics, Intro CS	quantum mechanics, physical implementation, quantum computing, quantum states, qubits, quantum gates, Qiskit, quantum algorithms, Grover's algorithm, Shor's algorithm, programming, fault tolerance, superdense coding, teleportation, error correction
48	PHYS 488	An Introduction to Quantum Computing	PHYS	Spring	2020	UG	No	This is a three-credit course that provides an introduction to quantum information and quantum computing from a physics perspective. Although the course is primarily intended for physics majors, computer science and math majors should also find the course to be of interest. We will first review the basic principles of quantum mechanics and then discuss the general underlying concepts of quantum information. Various important quantum algorithms will be discussed followed by a discussions of issues related to entanglement and quantum measurements. We will conclude the course with a brief look at qubit technologies and some of the exciting developments involving quantum information in the field of quantum gravity.	http://www.physics.rutgers.edu/~steves/488/overview.html		Modern Physics, Calculus, Linear Algebra	quantum mechanics, quantum information, quantum algorithms, entanglement, quantum measurement, qubits, density matrices, quantum circuits, Deutsch's algorithm, Bell's theorem, quantum communication, quantum Fourier transform, Deutsch-Jozsa algorithm, Grover's algorithm, Shor's algorithm, error correction
49	EE 225	Introduction to Quantum Computing	ENG	Spring	2020	GR	No	Hardware implementation and algorithms for quantum computing. Essential quantum mechanics including Bra-Ket notation, spins, Hilbert Space, Simple Harmonic Oscillator, Block Sphere, Tensor Product, Density Operator. Implementation of Qubits including electron spins in quantum dots and Josephson junction. Qubits such as topological insulator, trapped ion and defect centers. Quantum gates, logics, circuits, and representative quantum computing algorithms (Deutsch's, Grove's and Shor's). Error correction. Quantum computing simulation and experiment through IBM Q Experience.	https://ee.sjsu.edu/files/public/Greensheet/Current/gs_ee225-01.pdf	15	Hardware	physical implementation, quantum algorithms, quantum computing, quantum mechanics, Dirac notation, density operators, qubits, quantum dots, ion traps, quantum gates, quantum circuits, Deutsch's algorithm, Grover's algorithm, Shor's algorithm, error correction, quantum computing, Qiskit, programming, quantum measurement, teleportation
50	AMTH 351	Quantum Computing	MATH			GR	No					
51	N/A	Quantum Computing	CS	Fall	2019	UG	No	Physicists and philosophers have been trying to understand the strangeness of the subatomic world as revealed by quantum theory since its inception back in the 1920s; but it wasn't until the 1980s—more than a half-century after the development of the theory—that computer scientists first began to suspect that quantum physics might hold profound implications for computing, as well, and that its inherent weirdness might possibly be transformed into a source of immense computational power. This dawning realization was followed soon afterward by key theoretical and practical advances, including the discovery of several important algorithms for quantum computers that could potentially revolutionize (and disrupt) the cryptographic systems protecting practically all of our society's electronic banking, commerce, telecommunications, and national security systems. Around the same time, researchers succeeded in building the first working quantum computers, albeit on a very small scale. Today the multidisciplinary field of quantum computing lies at the intersection of computer science, mathematics, physics, and engineering; it is one of the most active and fascinating areas in science, with potentially far-reaching consequences for the future. This course will introduce students to the theory and applications of quantum computing from the perspective of computer science. Topics to be covered will include bits and qubits, quantum logic gates and reversible computing, Deutsch's algorithm, Grover's search algorithm, Shor's factoring algorithm, quantum teleportation, and applications to cryptography. No advanced background in physics, mathematics, or computer programming is necessary beyond a basic familiarity with linear algebra. We will study the quantitative, mathematical theory of quantum computing in detail but will also consider broader philosophical questions about the nature of physical reality, as well as the future of computing technologies.	http://science.slc.edu/~jmarshall/courses/fall/2019/quantum/	12	Linear Algebra	quantum computing, qubits, quantum gates, quantum algorithms, Deutsch's algorithm, Grover's algorithm, Shor's algorithm, teleportation, quantum cryptography, quantum information
52	PHYS 777	Introduction to Quantum Information	PHYS			GR	No	The course will provide a basic understanding of the notions and formalism of quantum information, with some elements of quantum computing. This area of knowledge is rapidly developing and likely to lead to technological advances, e.g. quantum computers.				quantum information, quantum computing, quantum computers
53	PHYS 575	Quantum Computing	PHYS			GR	Yes					
54	CSE 8381	Quantum Logic and Computing	CS, ENG	Fall	2019	GR	No	Quantum computers can solve some problems that are intractable on digital computers. Quantum computers are based on quantum logic circuits that manipulate qubits instead of binary digits (bits). Qubits allow for inherent parallelism not present in digital electronic bits and this parallelism is exploited in quantum circuits and computers. This course will provide a survey of quantum informatics; the use of quantum mechanical theory to represent and manipulate information in quantum computers or special-purpose devices. Prior knowledge of quantum mechanics is not required, any needed quantum mechanical principles will be introduced as the course proceeds. Models of quantum informatic operators and computing are emphasized while topics in underlying devices are only be briefly surveyed.	https://s2.smu.edu/~mitch/class/8381/index.html	10	Linear Algebra, Hardware	quantum computers, quantum circuits, qubits, quantum information, quantum mechanics, superposition, entanglement, quantum measurement, quantum complexity, quantum algorithms, decoherence, quantum gates, superconducting qubits, Deutsch-Jozsa algorithm, quantum Fourier transform, Shor's algorithm, Grover's algorithm, HHL algorithm
55	CME 250Q	Introduction to Quantum Computing and Quantum Algorithms	ENG	Fall	2019	UG, GR	Yes	This course will cover the basic formalism of quantum states and quantum measurements, and introduce the circuit model of quantum computation. Basic results such as the Solovay-Kitaev theorem, no-cloning theorem, quantum entanglement and Bell's inequality will be discussed followed by the quantum Fourier transform (QFT) and quantum phase estimation (QPE), and cover some of its important applications such as the celebrated Shor's algorithm for integer factorization (other applications will be mentioned but not discussed in detail), Grover's algorithm for quantum search is covered next, and lower bounds for query complexity in this context; some basic concepts of quantum error correction and quantum entropy, distance between quantum states, subadditivity and strong subadditivity of von Neumann quantum entropy will also be covered. Time permitting, we will discuss some advanced algorithms such as the HHL algorithm for matrix inversion, VQE (variational quantum eigensolver) and the QAOA algorithm for optimization. Requires programming in Python, where the goal will be to familiarize the students to available software for quantum algorithm development, existing libraries, and also run some simple programs on a real quantum computer.		1	Linear Algebra	quantum states, quantum measurement, quantum computation, quantum circuits, Solovay-Kitaev theorem, no cloning theorem, entanglement, Bell's theorem, quantum Fourier transform, phase estimation, quantum algorithms, Shor's algorithm, Grover's algorithm, quantum complexity, error correction, entropy, quantum states, Von Neumann entropy, HHL algorithm, QAOA algorithm, programming, quantum computers
55	CS 259Q	Quantum Computing	CS	Winter	2020	UG, GR	No	The course introduces the basics of quantum algorithms, quantum computational complexity, quantum information theory, and quantum cryptography, including the models of quantum circuits and quantum Turing machines, Shor's factoring algorithms, Grover's search algorithm, the adiabatic algorithms, quantum error-correction, impossibility results for quantum algorithms, Bell's inequality, quantum information transmission, and quantum coin flipping.			Linear Algebra, Algorithms, Statistics	quantum algorithms, quantum complexity, quantum information, quantum cryptography, quantum circuits, Turing machines, Shor's algorithm, Grover's algorithm, quantum algorithms, error correction, Bell's theorem, quantum communication
55	CS 269Q	Elements of Quantum Computer Programming	CS	Spring	2019	UG, GR	No	For advanced undergraduates and for graduate students. Quantum computing is an emerging computational paradigm with vast potential. This course is an introduction to modern quantum programming for students who want to work with quantum computing technologies and learn about new paradigms of computation. A physics / quantum mechanics background is not required. Students will learn the model of quantum computation, quantum programming languages, hybrid quantum/classical programming, quantum algorithms, quantum error correction, and applications. The course is hands on using open source Python packages for working with publicly available quantum processors.	https://cs269q.stanford.edu/syllabus.html	1	Linear Algebra, Intro CS	quantum computing, programming, quantum computation, quantum algorithms, error correction, quantum mechanics, quantum circuits, qubits, quantum supremacy, quantum machine learning, fault tolerance, Shor's algorithm, Grover's algorithm, HHL algorithm, quantum measurement
56	PHYS 680	Quantum Information and Quantum Computation	PHYS	Spring	2020	GR	Yes	The course will start with a brief reminder of quantum mechanics [QM]. All sections of QM necessary for information processing will be introduced: interaction with the environment, measurements theory, trace preserving completely positive maps, as well as Bell inequalities. The course will proceed to entanglement theory. Application of entanglement to analysis of dynamical systems will be explained.	http://insti.physics.sunysb.edu/~korepin/Teaching/Fall2006/phy680.shtml	1		quantum information, quantum measurement, quantum mechanics, Bell's theorem, entanglement, Shannon's theorems, quantum algorithms, Shor's algorithm, Grover's algorithm, phase estimation, quantum cryptography, ion traps, quantum machine learning, Qiskit
57	MA 565	Quantum Algorithms	MATH	Spring	2019	GR	No	The course provides an introduction to the theory and practice of quantum computation. It starts with a brief and abstract introduction to quantum mechanics, introduces quantum gates and quantum circuits. Then it concentrates on different quantum algorithms (Deutsch-Jozsa algorithm, Simon's algorithm, quantum Fourier transforms, Shor's integer factorization and discrete logarithm algorithms, Grover's search algorithm) and demonstrates their advantage over classic counterparts. Finally, it gives a short introduction to quantum information theory, quantum communication complexity, and quantum cryptography			Linear Algebra, Statistics	quantum computation, quantum mechanics, quantum gates, quantum circuits, quantum algorithms, Deutsch-Jozsa algorithm, Simon's algorithm, quantum Fourier transform, Shor's algorithm, Grover's algorithm, quantum information, quantum communication, quantum complexity, quantum cryptography
57	PEP 557	Quantum Information and Quantum Computation	PHYS	Spring	2020	GR	No	The course will focus on fundamentals of quantum computation. The topics to be covered include: quantum foundation, quantum channel, quantum qubits, noise and decoherence, master equation and Kraus operations, quantum entanglement, quantum circuits, universal quantum gates, quantum algorithms, quantum error correction codes. The course will not only cover the theoretical aspects of quantum computing and quantum information but also cover physical realizations of quantum computers in various physical contexts including quantum optical systems, solid state qubits etc.			Quantum Physics	quantum computation, quantum channels, qubits, decoherence, entanglement, quantum circuits, quantum gates, quantum algorithms, error correction, quantum computing, quantum information, quantum computers, physical implementation
58	CIS 678	Quantum Computing	CS			GR	No	Purpose of QC; quantum registers; quantum state transitions; classical vs quantum models of computation; quantum cellular automata and Hilbert Space 12; no-cloning theorem; quantum teleportation; quantum logic.			Calculus, Linear Algebra	quantum computing, quantum states, qubits, quantum cellular automata, no cloning theorem, teleportation
59	PHYS 5001	Introduction to Quantum Computing	PHYS			GR	No	This course will give an elementary introduction to some basics of quantum information and quantum computing that are accessible to not only physicists but also people with a variety of backgrounds. It will introduce the students to the latest scientific and technological advancement, and prepare for further study and/or initiating research if one wishes to pursue in this field.				quantum information, quantum computing
60	MATH 489	Quantum computing and information	MATH	Spring	2020	UG	Yes	I will give the basics of quantum computing and quantum information theory, with special attention to geometric aspects.	https://www.math.tamu.edu/~jml/quantumspring20h.html		Linear Algebra	quantum information, quantum computing, quantum algorithms, quantum complexity, quantum mechanics, Shor's algorithm, Grover's algorithm, Simon's algorithm
60	CSCE 440/640	Quantum Algorithms	CS	Spring	2019	UG, GR	No	Introduction to the design and analysis of quantum algorithms; basic principles of the quantum circuit model; gives a gentle introduction to basic quantum algorithms; reviews recent results in quantum information processing.	https://fangsong.info/teaching/s19_4640_qc/	1,4,7	Algorithms	quantum algorithms, quantum circuits, quantum information, qubits, quantum measurement, superdense coding, teleportation, Deutsch's algorithm, Deutsch-Jozsa algorithm, Simon's algorithm, phase estimation, quantum Fourier transform, Shor's algorithm, Grover's algorithm, density operators, mixed states, quantum information, entropy, no cloning theorem, quantum cryptography, error correction, fault tolerance
60	ECEN 674/PHYS 674	Introduction to Quantum Computing	ENG, PHYS	Fall	2020	GR	No	Introduces the quantum mechanics, quantum gates, quantum circuits and quantum hardware of potential quantum computers; algorithms, potential uses, complexity classes, and evaluation of coherence of these devices.				quantum mechanics, quantum gates, quantum circuits, physical implementation, quantum computers, quantum algorithms, coherence, quantum complexity
61	PSAM 3050/5050	QUANTUM COMPUTING	Other	Fall	2020	UG, GR	Yes	Although computing power has risen drastically, we are now witness to the rise of an entirely new type of computation - quantum. The quantum computer can quickly complete calculations that take supercomputers much longer. IBM, Google, Alibaba, Microsoft etc. have debuted major quantum computing programs. IBM-Q (IBM's project) is now accessible to the general public. The design industry will soon follow suit. Quantum skills are in demand, and this need is expected to accelerate. As artificial intelligence represented next generation skills 10 years ago and is one of the highest-paid careers today, quantum computing represents the future generation of hi-tech skill. The “Practical Quantum Computing” course will introduce quantum computing to students who want to experiment and strengthen their skills. No previous tech skills are required. The course will cover the fundamentals of quantum physics and quantum computing, including superposition, entanglement, interference, qubits, unitary operators, measurement and quantum circuit model. The students will create quantum circuits using Open Quantum Assembly Language (OpenQASM), execute the circuits using real IBM-Q quantum computers, and interpret the results. Students will learn to develop and program quantum computer software using an open-source framework- Qiskit. The course will investigate the application of quantum computing to art, design, education and business. Students will work individually and in groups on class projects. IBM will provide access to its quantum computer via the cloud. The class will visit the IBM quantum computer laboratories to gain first-hand information about the quantum computer. Again, no previous tech skills are required.				quantum physics, quantum computing, superposition, entanglement, qubits, quantum measurement, quantum circuits,OpenQASM, Qiskit
62	ENGP 3230/PHYS 3230/6230	Quantum information Sci & Eng	ENG, PHYS	Fall	2020	UG, GR	No	This survey course introduces students to the new world of quantum information, quantum communication, and quantum computing. The course is intended for advanced undergraduates and beginning graduate students in physics, engineering, and mathematics. Topics include: Quantum states, operators, and linear algebra; Bits and qubits; Ensembles and density operators; Unitary transformations; Gates and circuits; Information and entropy; POVM measurement; Multipartite systems; Bell inequality, Bell states, and non-locality; Measures of entanglement; Quantum communication and cryptography; Teleportation; Superdense coding; Quantum noise and error correction; Classical and quantum computational complexity; Quantum algorithms: Deutsch-Jozsa, Grover, Shor; DiVincenzo criteria; Physical realizations of quantum computers: trapped ions, solid state qubits; Quantum optics and quantum internet; Topological quantum computation; Quantum biology.			Modern Physics, Calculus	quantum information, quantum communication, quantum computing, quantum states, qubits, density operators, quantum gates, quantum circuits, entropy, Bell's theorem, Bell states, non-locality, entanglement, quantum cryptography, teleportation, superdense coding, error correction, quantum complexity, quantum algorithms, Deutsch-Jozsa algorithm, Grover's algorithm, Shor's algorithm, DiVincenzo criteria, physical implementation, ion traps, solid state qubits, quantum biology
63	OPTI 646	Introduction to Quantum Information and Computation	Other	Fall	2020	UG	No	The course covers the foundations of quantum information and selected topics in quantum communication and quantum components, including physical implementations.	https://wp.optics.arizona.edu/opti646/	16	Quantum Physics	quantum information, quantum communication, physical implementation, quantum algorithms, Deutsch's algorithm, error correction, ion traps, NMR, solid state qubits, quantum mechanics, quantum measurement, density operators, partial trace, qubits, quantum gates, Bell's theorem, decoherence, Shannon entropy, Von Neumann entropy, Schumacher's theorem, quantum circuits, quantum complexity, Grover's algorithm
64	CSI 542	An Introduction to Quantum Computation, Information, and Simulation	CS			GR	No	The main ideas of Quantum Computation, Information, and Simulation are introduced. The course describes what quantum computation is and how it can be used to solve problems faster than classical computers. The challenges of building a quantum computer are addressed. Quantum simulators are explained and built illustrating the vast differences between quantum and classical gates. The course also covers quantum information, explaining how quantum states can be used to program communications			Algorithms	quantum computation, quantum information, quantum computers, quantum gates, quantum communication, quantum simulation
64	CSI 642	Topics in Quantum Computation, Information, and Simulation	CS			GR	Yes	This course is a follow up to Csi 542, an Introduction to Quantum Computation, Information, and Simulation. Topics covered will change from semester to semester. Detailed in-depth studies of these topics may include: quantum computation including theoretical aspects, numerical aspects of quantum mechanical computation, quantum information theory including quantum error correction, and quantum simulation.			Quantum Information	quantum computation, quantum information, error correction, quantum simulation
65	CPSC/CPEG 606	Quantum Computing	CS, ENG	Spring	2020	PhD	No	Classical Computing versus Quantum Computing, Basic Quantum Theory. Quantum Gates and Circuits. Quantum Algorithms. Quantum Programming Language. Deterministic and Nondeterministic Computations. Quantum Cryptography. Quantum Information Theory Quantum Hardware.				quantum computing, quantum gates, quantum circuits, quantum algorithms, programming, quantum cryptography, quantum information, quantum hardware
66	CSE 439LEC	Quantum Computation through Linear Algebra	CS	Fall	2020	UG	No	This course covers both introductory numerical linear algebra and quantum algorithms, which are phrased in linear algebraic terms. The course provides a mathematical foundation for subsequent study in Quantum Computing, and covers several quantum algorithms in depth, including Deutsch's Algorithm, the Deutsch-Jozsa Algorithm, and Grover's Algorithm. Students will also cover linear operators and matrix representations, operator norms, orthogonalization, the SVD and QR factorizations.	https://cse.buffalo.edu/~knepley/classes/cse410/	17,18	Data Structures, Linear Algebra	quantum computing, quantum algorithms, Deutsch's algorithm, Deutsch-Jozsa algorithm, Grover's algorithm, quantum mechanics, programming
66	ENG 520	Quantum Computing & Devices	ENG	Spring	2020	GR	No	This course introduces concepts and applications of quantum computing and covers basic quantum mechanics focused on two-level systems (qubit), basic principles and examples of quantum gates and some concrete examples of physical realization of quantum computers. The specific topics covered include quantum postulates, states, ensembles, density matrix, pure and mixed states, qubits, Pauli matrix, Bloch sphere, single-qubit states, rotation matrix in R3, Schmidt decomposition and state purification, orthogonal measurement, generalized measurement (POVM), unitary evolution operator, Krauss evolution operator, entanglement, EPR states, Bell inequality, dense coding, quantum teleportation, no cloning, EPR quantum key distribution, single-qubit quantum gates (Hadamard), reversible gates (Fredkin, Toffoli, Feynman), quantum Fourier transform (Shor's algorithm), quantum search (Grover's algorithm), physical realization examples including superconducting circuit QED, single electron spin qubit in quantum dot and selected device topics of recent development.				quantum computing, quantum mechanics, qubits, quantum gates, quantum computers, density matrices, mixed states, Schmidt decomposition, entanglement, superdense coding, teleportation, no cloning theorem, quantum cryptography, quantum Fourier transform, quantum algorithms, Shor's algorithm, Grover's algorithm, physical implementation, superconducting qubits, quantum dots
67	CS/PHYS/CHEM 191	Quantum Information Science and Technology	CS, PHYS, CHEM	Fall	2020	UG	No	This multidisciplinary course provides an introduction to fundamental conceptual aspects of quantum mechanics from a computational and informational theoretic perspective, as well as physical implementations and technological applications of quantum information science. Basic sections of quantum algorithms, complexity, and cryptography, will be touched upon, as well as pertinent physical realizations from nanoscale science and engineering.	https://inst.eecs.berkeley.edu/~cs191/fa14/		Linear Algebra, Quantum Physics	quantum mechanics, quantum information, quantum algorithms, quantum complexity, quantum cryptography, physical implementation, quantum states, quantum measurement, density matrices, qubits, teleportation, superdense coding, Deutsch-Jozsa algorithm, Bell's theorem, quantum cryptography, error correction, fault tolerance, phase estimation, quantum Fourier transform, Shor's algorithm, superconducting qubits, ion traps, entanglement
